(1983)	anonymous1983	Chinese
Spivak et al. (1991)	Spivak1991	
Springer & Mitchell (1953)	Springer1953	English
Staszak & Armitage (2013)	Staszak2013	English
Statius Müller (1775)	StatiusMuller1775	German
Staton et al. (2014)	Staton2014	English
Staton & Felder (1990)	Station1990	English
Staub (1983)	Staub1983.1	English
Staub & Fingerman (1982)	Staub1982	English
Staub & Fingerman (1983)	Staub1983.2	English
Staub & Fingerman (1984)	Staub1984.1	
Staub & Fingerman (1984)	Staub1984.2	
Stebbing (1905)	Stebbing1905	English
Stebbing (1910)	Stebbing1910	English
Stebbing (1917)	Stebbing1917	English
Stebbing (1921)	Stebbing1921	English
Stella (1953)	Stella1953	Italian [with English abstract/summary]
Stephens (1955)	Stephens1955	English
Stephens (1957)	Stephens1957	English
Stephens (1957)	Stephens1957.2	English
Stephens (1962)	Stephens1962	English
Stephens et al. (1956)	Stephens1956	English
Stephens & Green (1958)	Stephens1958.1	English
Stephens et al. (1958)	Stephens1958.3	English
Stephens et al. (1958)	Stephens1958.2	English
Stephens & Schinske (1961)	Stephens1961	English
Stephens et al. (1964)	Stephens1964	English
Stephensen (1921)	Stephensen1921	Danish
Stephensen (1946)	Stephensen1946	English
Stephenson et al. (1931)	Stephenson1931	English
Steppe & Epifanio (2006)	Steppe2006	
Sterling et al. (1982)	Sterling1982	
Stevcic (1998)	Stevcic1998	
Stevens et al. (2013)	Stevens2013	
Stevenson (1963)	Stevenson1963.1	English
Stevenson (1963)	Stevenson1963.2	English
Stevenson (1985)	Stevenson1985	English
Stewart & Green (1968)	Stewart1968	English
Stewart & Green (1969)	Stewart1969	English
Stienen et al. (2008)	Stienen2008	
Stillman & Green (1967)	Stillman1967	English
Stillman & Barnwell (2004)	Stillman2004	
Stimpson (1858)	Stimpson1858	Latin
Stimpson (1859)	Stimpson1859	English
Stimpson (1860)	Stimpson1860	English
Stimpson (1907)	Stimpson1907	English
Stossich (1878)	Stossich1878	Italian
Stossich (1880)	Stossich1880	Italian
Strauch & Abele (1979)	Strauch1979	English
Streets (1872)	Streets1872	English
Streets (1877)	Streets1877	English
Studer (1883)	Studer1883	German
Stueckle (2008)	Stueckle2008.1	English
Stueckle et al. (2008)	Stueckle2008.2	
Stueckle et al. (2008)	Stueckle2008.3	
Stueckle et al. (2009)	Stueckle2009	
Sturmbauer et al. (1996)	Sturmbauer1996	English
Su & Lue (1984)	Su1984	Chinese
Subburajo et al. (1988)	Subburajo1988	
Subrahmanyam et al. (1976)	Subrahmanyam1976	English
Subramanian (1984)	Subramanian1984	
Suiken (?)	Suiken	Japanese
Suiken (~1826)	Suiken1826	Japanese
Sullivan et al. (1983)	Sullivan1983	
Sullivan & Tentori (1981)	Sullivan1981	
Sullivan (1909)	Sullivan1909	English
Summers (1967)	Summers1967	English
Summers (1968)	Summers1968	English
Sumner et al. (1911)	Sumner1911	English
Suñer et al. (1999)	Suner1999	
Suvatti (1938)	Suvatti1938	English and Thai
Suvatti (1950)	Suvatti1950	English and Thai
Suzawa et al. (1993)	Suzawa1993	
Swanson et al. (2013)	Swanson2013	
Swennen et al. (1982)	Swennen1982	
Swennen & Marteijn (1985)	Swennen1985	
Swetha et al. (2016)	Swetha2016	English
Symons (1920)	Symons1920	English
Szura et al. (2017)	Szura2017	English
Tabb & Manning (1961)	Tabb1961	English
Tagatz (1968)	Tagatz1968	English
Takahashi & Seifter (1972)	Takahashi1972	
Takahasi (1934)	Takahasi1934.1	Japanese
Takahasi (1934)	Takahasi1934.2	Japanese
Takahasi (1934)	Takahasi1934.3	Japanese
Takahasi (1935)	Takahasi1935	English
Takeda (1982)	Takeda1982	Japanese
Takeda (1995)	Takeda1995	Japanese
Takeda (1996)	Takeda1996.1	
Takeda & Miyake (1976)	Takeda1976.2	Japanese [with English abstract/summary]
Takeda & Nunomura (1976)	Takeda1976	
Takeda & Ueshima (2006)	Takeda2006.2	Japanese [with English abstract/summary]
Takeda & Yamaguchi (1973)	Takeda1973	Japanese [with English abstract/summary]
Takeda (2003)	Takeda2003.1	
Takeda (2006)	Takeda2006	
Takeda (2010)	Takeda2010	
Takeda et al. (1996)	Takeda1996.2	
Takeda & Murai (1993)	Takeda1993	
Takeda & Murai (2003)	Takeda2003.2	
Takeda & Murai (2004)	Takeda2004.1	
Takeda et al. (2004)	Takeda2004.2	
Takeshita & Murai (2016)	Takeshita2016	English
Talapatra et al. (2014)	Talapatra2014	English
Tanaka et al. (2004)	Tanaka2004	Japanese [with English abstract/summary]
Tanakayoneda et al. (1997)	Tanakayoneda1997	
Tang et al. (2014)	Tang2014	English [with French abstract/summary]
Tankersley & Forward (1993)	Tankersley1993	English
Tankersley & Forward (1994)	Tankersley1994	
Tankersley et al. (1995)	Tankersley1995	
Targioni Tozzetti (1877)	TargioniTozzetti1877	Italian
Tashian (1956)	Tashian1956	English
Tashian & Vernberg (1958)	Tashian1958	English
Tautz (1990)	Tautz1990	
Tavares (1993)	Tavares1993	English
Tavares & de Mendonça (2003)	Tavares2003	
Taylor (1968)	Taylor1968	English
Tazelaar (1933)	Tazelaar1933	English [with German abstract/summary]
Teal (1958)	Teal1958	English
Teal (1959)	Teal1959	English
Teal (1962)	Teal1962	English
Teal & Carey (1967)	Teal1967	English
Teal et al. (1992)	Teal1992	
Teal et al. (1982)	Teal1982	
Techa & Chung (2013)	Techa2013	English
Techa & Chung (2015)	Techa2015	English
Tedore & Johnsen (2015)	Tedore2015	English
Teissier (1960)	Teissier1960	English
Teller (1982)	Teller1982.2	German
Teller (1982)	Teller1982	English
Teller (1984)	Teller1984	German
Teller & Graszynski (1983)	Teller1983	German
Templeton (2017)	Templeton2017	English
Tenison-Woods (1881)	TenisonWoods1881	English
Tennent (1861)	Tennent1861	English
Terada (1979)	Terada1979	Japanese [with English abstract/summary]
Tesch (1918)	Tesch1918	English
Thallwitz (1891)	Thallwitz1891	German
Thibault & McNeil (1994)	Thibault1994	
Thibault & McNeil (1995)	Thibault1995	
Thomas (2004)	Thomas2004.1	English
Thomas (2004)	Thomas2004.2	English
Thomas & Blum (2010)	Thomas2010	
Thompson (1901)	Thompson1901	English
Thompson et al. (1987)	Thompson1987	English
Thompson et al. (1989)	Thompson1989	
Thorbjarnarson (1988)	Thorbjarnarson1988	English
Thurberg et al. (1977)	Thurberg1977	English
Thurman (1973)	Thurman1973	English
Thurman (1977)	Thurman1977.1	English
Thurman (1979)	Thurman1979	English
Thurman (1981)	Thurman1981.1	English
Thurman (1982)	Thurman1982	
Thurman (1984)	Thurman1984.1	
Thurman (1984)	Thurman1984.2	English
Thurman (1985)	Thurman1985	
Thurman (1987)	Thurman1987.1	
Thurman (1987)	Thurman1987.2	English
Thurman (1988)	Thurman1988	
Thurman (1990)	Thurman1990	
Thurman (1994)	Thurman1994	English
Thurman (1996)	Thurman1996	English
Thurman (1998)	Thurman1998.1	
Thurman (1998)	Thurman1998.2	
Thurman (1998)	Thurman1998.3	English
Thurman (2000)	Thurman2000	English
Thurman (2001)	Thurman2001.1	English
Thurman (2002)	Thurman2002	
Thurman (2003)	Thurman2003.2	
Thurman (2003)	Thurman2003.1	
Thurman (2004)	Thurman2004.2	English
Thurman (2004)	Thurman2004.1	
Thurman (2005)	Thurman2005.1	
Thurman (2005)	Thurman2005.2	
Thurman & Barnwell (1977)	Thurman1977.2	English
Thurman & Broghammer (2001)	Thurman2001.2	
Thurman et al. (2013)	Thurman2013.1	
Thurman et al. (2007)	Thurman2007	English
Thurman et al. (2010)	Thurman2010	
Thurman & Thurman (1981)	Thurman1981.2	English
Tilden et al. (2001)	Tilden2001.1	
Tilden et al. (2003)	Tilden2003.1	English
Tilden et al. (2001)	Tilden2001.2	English
Tilden et al. (2004)	Tilden2004	English
Tilden et al. (2001)	Tilden2001.3	
Tilden et al. (1997)	Tilden1997	
Tilden et al. (2000)	Tilden2000	English
Tilden et al. (2003)	Tilden2003.2	
Tina et al. (2017)	Tina2017	English [with French abstract/summary]
Tina et al. (2015)	Tina2015.2	English [with French abstract/summary]
Tina et al. (2015)	Tina2015.4	English [with French abstract/summary]
Tina et al. (2015)	Tina2015	English [with French abstract/summary]
Tina et al. (2016)	Tina2016.3	English [with French abstract/summary]
Tina et al. (2016)	Tina2016.4	English [with French abstract/summary]
Tina et al. (2016)	Tina2016.2	English [with French abstract/summary]
Tina et al. (2016)	Tina2016	English [with French abstract/summary]
Tina et al. (2017)	Tina2017.2	English [with French abstract/summary]
Tina et al. (2017)	Tina2017.4	English [with French abstract/summary]
Tina et al. (2017)	Tina2017.3	English [with French abstract/summary]
Tina et al. (2015)	Tina2015.3	English [with French abstract/summary]
Tirmizi & Ghani (1996)	Tirmizi1996	
Tomkins (1965)	Tomkins1965	English
Tomsic et al. (2017)	Tomsic2017	English
Torres et al. (2008)	Torres2008	
Torres et al. (2009)	Torres2009	
Toups & Zou (2007)	Toups2007	English
Trager (1957)	Trager1957	English
Trave & Sheaves (2014)	Trave2014	English
Trinkaus-Randall (1981)	TrinkausRandall1981	
Trinkaus-Randall (1982)	TrinkausRandall1982	
Trinkaus-Randall & Govind (1985)	TrinkausRandall1985	
Trinkaus-Randall & Mittenthal (1978)	TrinkausRandall1978	
Trott et al. (1995)	Trott1995	English
Trott et al. (1997)	Trott1997	
Truesdale & Andryszak (1983)	Truesdale1983	English
Tsai et al. (1991)	Tsai1991	English
Tsai & Lin (2007)	Tsai2007	
Tsu (1995)	Tsu1995	English
Tsu & Craik (1996)	Tsu1996	English
Tsu et al. (1993)	Tsu1993	
Tsu et al. (1997)	Tsu1997	
Tsu et al. (1994)	Tsu1994	
Tuberty (2001)	Tuberty2001	English
Tuberty et al. (2000)	Tuberty2000	English
Tucker et al. (1995)	Tucker1995	English
Tucker et al. (1997)	Tucker1997	English
Tue et al. (2012)	Tue2012	
Tulio Diaz et al. (2015)	TulioDiaz2015	
Tuma et al. (1993)	Tuma1993	
Turner (2001)	Turner2001	English
Turpie & Hockey (1993)	Turpie1993	English
Turpin et al. (1970)	Turpin1970	
Tuzet & Manier (1962)	Tuzet1962	
Twain (1883)	Twain1883	English
Tweedie (1937)	Tweedie1937	English
Tweedie (1948)	Tweedie1948	English
Tweedie (1950)	Tweedie1950.2	English
Tweedie (1950)	Tweedie1950.1	English
Tweedie (1954)	Tweedie1954	English
Tzeng & Chen (1992)	Tzeng1992	Chinese
Ubaldo et al. (2014)	Ubaldo2014	English
Uhler (1878)	Uhler1878	English
Umbers et al. (2014)	Umbers2014	
Underwood et al. (2013)	Underwood2013	English
Underwood (1990)	Underwood1990	English
Unglaub (1971)	Unglaub1971	English
Urita (1926)	Urita1926	
Utrera-López & Capistrán-Barradas (2013)	UtreraLopez2013	
Vacca (1969)	Vacca1969	
Vacca (1973)	Vacca1973	English
Vacca & Fingerman (1975)	Vacca1975.1	English
Vacca & Fingerman (1975)	Vacca1975.2	English
Vacca & Fingerman (1983)	Vacca1983	
Vala et al. (2001)	Vala2001	
Valero et al. (1999)	Valero1999	
Valiela et al. (1974)	Valiela1974	English
van Delft (1968)	vanDelft1968	English
Van Laarhoven et al. (1993)	VanLaarhoven1993	English
Van Ort et al. (2006)	VanOrt2006	English
Vanesyan et al. (2015)	Vanesyan2015	English
Vanhöffen (1916)	Vanhoffen1916	German
Vanhove et al. (1992)	Vanhove1992	
Vannini (1976)	Vannini1976	English
Vannini (1980)	Vannini1980	English
Vannini et al. (2001)	Vannini2001	English
Vannini & Valmori (1981)	Vannini1981	English
Vatova (1943)	Vatova1943	Italian
Vega-Trejo & Backwell (2017)	VegaTraejo2017	English
Veitch (1978)	Veitch1978	English
Vélez (1967)	Velez1967	English
Ventura et al. (2010)	Ventura2010	English [with Portuguese abstract/summary]
Vermeiren et al. (2015)	Vermeiren2015.3	English
Vermeiren et al. (2016)	Vermeiren2016	English
Vermeiren & Sheaves (2014)	Vermeiren2014.2	English
Vermeiren & Sheaves (2014)	Vermeiren2014.1	English
Vermeiren & Sheaves (2015)	Vermeiren2015.2	English
Vermeiren & Sheaves (2015)	Vermeiren2015.1	English
Vernberg (1955)	Vernberg1955	English
Vernberg (1956)	Vernberg1956	English
Vernberg (1959)	Vernberg1959.2	English
Vernberg (1959)	Vernberg1959.3	English
Vernberg (1960)	Vernberg1960	English
Vernberg (1962)	Vernberg1962	English
Vernberg (1963)	Vernberg1963	English
Vernberg (1969)	Vernberg1969.2	English
Vernberg (1981)	Vernberg1981.2	English
Vernberg (1983)	Vernberg1983.2	English
Vernberg (1984)	Vernberg1984	
Vernberg (1987)	Vernberg1987	English
Vernberg et al. (1977)	Vernberg1977.3	English
Vernberg & Costlow (1966)	Vernberg1966.1	English [with German abstract/summary]
Vernberg & Costlow (1966)	Vernberg1966.2	English
Vernberg & Dame (1981)	Vernberg1981	
Vernberg et al. (1977)	Vernberg1977.1	English
Vernberg et al. (1978)	Vernberg1978	
Vernberg & Tashian (1959)	Vernberg1959.1	English
Vernberg & Vernberg (1964)	Vernberg1964	English
Vernberg & Vernberg (1966)	Vernberg1966.7	English
Vernberg & Vernberg (1966)	Vernberg1966.4	English
Vernberg & Vernberg (1966)	Vernberg1966.5	English
Vernberg & Vernberg (1967)	Vernberg1967.2	English
Vernberg & Vernberg (1967)	Vernberg1967.1	English
Vernberg & Vernberg (1969)	Vernberg1969.1	English
Vernberg & Vernberg (1970)	Vernberg1970	English
Vernberg & Vernberg (1973)	Vernberg1973	
Vernberg & Vernberg (1975)	Vernberg1975	English
Vernberg & Vernberg (1976)	Vernberg1976.2	English
Vernberg (1975)	Vernberg1975.2	English
Vernberg (1983)	Vernberg1983	English
Vernberg & DeCoursey (1977)	Vernberg1977.2	English
Vernberg et al. (1974)	Vernberg1974.1	English
Vernberg et al. (1974)	Vernberg1974.2	English
Vernberg & O'Hara (1972)	Vernberg1972.2	English
Vernberg & Vernberg (1966)	Vernberg1966.6	English
Vernberg & Vernberg (1966)	Vernberg1966.3	English
Vernberg & Vernberg (1968)	Vernberg1968.3	English
Vernberg & Vernberg (1968)	Vernberg1968.1	English
Vernberg & Vernberg (1968)	Vernberg1968.2	English
Vernberg & Vernberg (1972)	Vernberg1972.4	English
Vernberg & Vernberg (1972)	Vernberg1972.1	English
Vernberg & Vernberg (1974)	Vernberg1974.3	English
Vernberg & Vernberg (1976)	Vernberg1976.1	English
Vernberg & Vernberg (1983)	Vernberg1983.3	English
Vernet-Cornubert (1961)	VernetCornubert1961	French
Verrill (1873)	Verrill1873	English
Verrill (1908)	Verrill1908	English
Verrill & Smith (1874)	Verrill1874	English
Verrill (1955)	Verrill1955	English
Verwey (1930)	Verwey1930	German
Vigh (1985)	Vigh1985.1	English
Vigh & Fingerman (1982)	Vigh1982	English
Vigh & Fingerman (1985)	Vigh1985.2	
Vilela (1939)	Vilela1939	Portuguese
Vilela (1949)	Vilela1949	Portuguese
Villalobos Hiriart et al. (1989)	VillalobosHiriart1989	Spanish
Villela & Oliveira (1941)	Villela1941.1	Portuguese [with English abstract/summary]
Villela & Oliveira (1941)	Villela1941.2	Portuguese [with English abstract/summary]
Viscido (2000)	Viscido2000	English
Viscido et al. (2001)	Viscido2001	
Viscido et al. (2002)	Viscido2002.1	
Viscido & Shrestha (2015)	Viscido2015	English
Viscido & Wethey (2002)	Viscido2002.2	
Vogt (1969)	Vogt1969	German
Vohra (1971)	Vohra1971	English
von Hagen (1961)	vonHagen1961	German
von Hagen (1962)	vonHagen1962.2	German
von Hagen (1962)	vonHagen1962.1	German
von Hagen (1967)	vonHagen1967.1	German
von Hagen (1967)	vonHagen1967.3	
von Hagen (1967)	vonHagen1967.2	German [with English abstract/summary]
von Hagen (1968)	vonHagen1968.2	German [with Spanish abstract/summary]
von Hagen (1969)	vonHagen1969	German [with English abstract/summary]
von Hagen (1970)	vonHagen1970.4	German [with English abstract/summary]
von Hagen (1970)	vonHagen1970.2	German [with English abstract/summary]
von Hagen (1970)	vonHagen1970.1	German [with English abstract/summary]
von Hagen (1970)	vonHagen1970.3	German [with English abstract/summary]
von Hagen (1975)	vonHagen1975	German [with English abstract/summary]
von Hagen (1976)	vonHagen1976	English
von Hagen (1980)	vonHagen1980	English [with German abstract/summary]
von Hagen (1983)	vonHagen1983	English [with German abstract/summary]
von Hagen (1984)	vonHagen1984	English [with German abstract/summary]
von Hagen (1987)	vonHagen1987.2	
von Hagen (1987)	vonHagen1987.1	German [with English abstract/summary]
von Hagen (1993)	vonHagen1993	
von Hagen (2000)	vonHagen2000	
von Hagen & Holthuis (1968)	vonHagen1968.1	English
von Hagen & Jones (1989)	vonHagen1989	
von Ihering (1897)	vonIhering1897	Portuguese
von Martens (1867)	vonMartens1867	English
von Martens (1868)	vonMartens1868	German
von Martens (1869)	vonMartens1869	German
von Martens (1872)	vonMartens1872	German
von Prahl (1981)	vonPrahl1981.1	Spanish [with English abstract/summary]
von Prahl (1982)	vonPrahl1982	
von Prahl & Guhl (1981)	vonPrahl1981.2	Spanish [with English abstract/summary]
von Prahl & Toro (1985)	vonPrahl1985	English [with Spanish abstract/summary]
Vonk (1960)	Vonk1960	English
Vu et al. (2017)	Vu2017	English
Wacker et al. (2016)	Wacker2016	English
Wada & Murata (2000)	Wada2000	
Wada et al. (2011)	Wada2011	
Wada & Wowor (1989)	Wada1989	
Wagner & Foreman (1981)	Wagner1981	English
Wagner-Merner (1979)	WagnerMerner1979	English
Wainwright & Friel (1998)	Wainwright1998	English
Wainwright & Friel (2000)	Wainwright2000	
Wald (1941)	Wald1941	English
Waldichuk (1974)	Waldichuk1974	English
Walker (1887)	Walker1887	English
Walker (1972)	Walker1972	English
Wallace (1967)	Wallace1967.2	
Wallace et al. (1967)	Wallace1967	English
Walls & Layne (2009)	Walls2009.2	
Walls & Layne (2009)	Walls2009.1	
Wang (1984)	Wang1984	Chinese [with English abstract/summary]
Wang & Liu (1996)	Wang1996	Chinese
Wang et al. (2015)	Wang2015	English
Wang et al. (2010)	Wang2010	
Wang et al. (2014)	Wang2014	English
Wanson & Péqueux (1984)	Wanson1984.1	
Wanson et al. (1984)	Wanson1984.2	
Warburton (1978)	Warburton1978	English
Ward & Busch (1976)	Ward1976.1	English
Ward & Howes (1974)	Ward1974	English
Ward et al. (1976)	Ward1976.2	English
Ward (1928)	Ward1928	English
Ward (1939)	Ward1939	English
Ward (1941)	Ward1941	English
Ward (1942)	Ward1942	English
Warner (1969)	Warner1969	English
Warner (1977)	Warner1977	English
Warren (1990)	Warren1990	English
Warwick et al. (2009)	Warwick2009	English
Wass (1955)	Wass1955	English
Wass (1961)	Wass1961	English
Wass (1963)	Wass1963	English
Wass (1965)	Wass1965	English
Watanabe et al. (2015)	Watanabe2015	English [with Portuguese abstract/summary]
Waterman (1961)	Waterman1961.2	English
Waterman (1961)	Waterman1961.1	English
Waterman & Chace (1960)	Waterman1960	English
Watling (1986)	Watling1986	English
Watts (1988)	Watts1988	
Weatherly (1976)	Weatherly1976	English
Weaver (2000)	Weaver2000	English
Weaver & Salmon (2002)	Weaver2002	
Webb (1950)	Webb1950.1	English
Webb (1950)	Webb1950.2	English
Webb (1960)	Webb1960	English
Webb (1965)	Webb1965.2	English
Webb (1966)	Webb1966	English
Webb (1971)	Webb1971	English
Webb (1972)	Webb1972	English
Webb (1976)	Webb1976	English
Webb (1977)	Webb1977.1	English
Webb (1983)	Webb1983	
Webb et al. (1954)	Webb1954.2	English
Webb et al. (1953)	Webb1953	English
Webb & Brown (1958)	Webb1958	English
Webb & Brown (1959)	Webb1959	English
Webb & Brown (1961)	Webb1961	English
Webb & Brown (1965)	Webb1965	English
Webb et al. (1956)	Webb1956	English
Webb et al. (1954)	Webb1954.1	English
Webb & Stokes Lewis (1977)	Webb1977.2	English
Wehrtmann & Dittel (1990)	Wehrtmann1990	
Weinstein (1993)	Weinstein1993	English
Weinstein (1998)	Weinstein1998	
Weinstein & Full (2000)	Weinstein2000	
Weinstein et al. (1988)	Weinstein1988	English
Weinstein et al. (1987)	Weinstein1987	English
Weinstein et al. (1985)	Weinstein1985	English
Weis (1976)	Weis1976.3	English
Weis (1976)	Weis1976.1	English
Weis (1976)	Weis1976.2	English
Weis (1977)	Weis1977.1	English
Weis (1977)	Weis1977.2	English [with French abstract/summary]
Weis (1978)	Weis1978.2	English
Weis (1978)	Weis1978.1	
Weis (1980)	Weis1980	
Weis (1985)	Weis1985	
Weis (2012)	Weis2012	English
Weis et al. (2011)	Weis2011	
Weis et al. (1987)	Weis1987.1	
Weis et al. (1992)	Weis1992.3	English
Weis et al. (1986)	Weis1986.1	
Weis et al. (1987)	Weis1987.2	
Weis & Kim (1986)	Weis1986.2	
Weis & Kim (1988)	Weis1988.1	
Weis & Mantel (1976)	Weis1976.4	English
Weis & Perlmutter (1987)	Weis1987.4	
Weis & Perlmutter (1987)	Weis1987.3	
Weis & Weis (1979)	Weis1979.1	English
Weis & Weis (1979)	Weis1979.2	
Weis & Weis (1988)	Weis1988.2	English
Weis & Weis (1992)	Weis1992.1	
Weis & Weis (2000)	Weis2000	
Weis & Weis (2004)	Weis2004	
Weis et al. (1985)	Weis1985.2	English
Weis et al. (2002)	Weis2002	
Weis et al. (1991)	Weis1991	
Weis et al. (1992)	Weis1992.2	
Weisberg & Lotrich (1982)	Weisberg1982	
Weissburg (1990)	Weissburg1990	English
Weissburg (1991)	Weissburg1991.1	
Weissburg (1992)	Weissburg1992	
Weissburg (1993)	Weissburg1993.1	
Weissburg (1998)	Weissburg1998	
Weissburg (1999)	Weissburg1999	
Weissburg (2000)	Weissburg2000	English
Weissburg (2001)	Weissburg2001.1	
Weissburg & Derby (1994)	Weissburg1994.2	
Weissburg & Derby (1994)	Weissburg1994.1	English
Weissburg & Derby (1995)	Weissburg1995.1	
Weissburg et al. (2001)	Weissburg2001.2	
Weissburg et al. (1995)	Weissburg1995.2	English
Weissburg et al. (1993)	Weissburg1993.2	English
Weissburg et al. (1996)	Weissburg1996	
Weissburg & Zimmer-Faust (1991)	Weissburg1991.2	
Welch et al. (2015)	Welch2015	English
Welch et al. (2016)	Welch2016	English
Welch et al. (1997)	Welch1997	
Welgus & Grant (1983)	Welgus1983	
Welgus et al. (1982)	Welgus1982	
Welsh (1955)	Welsh1955	English
Welsh (1961)	Welsh1961	English
Wenner et al. (1989)	Wenner1989	English
Werner (1938)	Werner1938	German
West-Eberhard (2014)	WestEberhard2014	English
Wetherbee (1996)	Wetherbee1996	
Weygoldt (1977)	Weygoldt1977	English
Wheeler (1978)	Wheeler1978	English
Whelan (2005)	Whelan2005	English
White (1847)	White1847.1	English
White (1847)	White1847.2	English
White et al. (2000)	White2000	
White et al. (2017)	White2017	English
White & Kemp (2015)	White2015	
Whitelaw & Zajac (2002)	Whitelaw2002	
Whitelegge (1898)	Whitelegge1898	English
Whiting (1972)	Whiting1972	English
Whiting & Moshiri (1974)	Whiting1974	English
Whitten et al. (1950)	Whitten1950	English
Whitten & Martin (2014)	Whitten2014	English
Wicksten (1977?)	Wicksten1977	
Wicksten (2008)	Wicksten2008	English
Wieman et al. (2014)	Wieman2014	English
Wilkens (1960)	Wilkens1960	English
Wilkens & Fingerman (1965)	Wilkens1965	English
Wilkins (1965)	Wilkins1965	English
Williams (1965)	Williams1965	English
Williams (1984)	Williams1984	English
Williams (1993)	Williams1993	English
Williams & Duke (1979)	Williams1979	English
Williams (1974)	Williams1974	English
Williams & Heng (1981)	Williams1981	English
Williams et al. (1980)	Williams1980	
Wilson et al. (1985)	Wilson1985.2	English
Wilson (1985)	Wilson1985	
Wilson (1989)	Wilson1989	
Wilson & Angilletta (2015)	Wilson2015	English
Windom et al. (1976)	Windom1976	English
Windsor et al. (2005)	Windsor2005	
Winger et al. (1990)	Winger1990	
Winstead & Thurman (2006)	Winstead2006	English
Wlodawer et al. (2004)	Wlodawer2004	English
Wolcott & O'Connor (1992)	Wolcott1992.1	English
Wolcott & Wolcott (1987)	Wolcott1987	
Wolcott (1988)	Wolcott1988	English
Wolcott (1992)	Wolcott1992.2	English
Wolcott & Wolcott (1988)	Wolcott1988.2	English
Wolf & Fanning (1970)	Wolf1970	
Wolf et al. (1972)	Wolf1972	English
Wolf et al. (1975)	Wolf1975	English [with German abstract/summary]
Wolff et al. (2000)	Wolff2000	
Wolff (1983)	Woff1983	English
Wolfrath (1991)	Wolfrath1991	German
Wolfrath (1992)	Wolfrath1992.1	
Wolfrath (1992)	Wolfrath1992.2	
Wolfrath (1993)	Wolfrath1993	
Wolin & Laufer (1971)	Wolin1971	English
Wolin et al. (1973)	Wolin1973	English
Wolvekamp & Waterman (1960)	Wolvekamp1960	English
Won & Sa Heung (1995)	Won1995	
Wong et al. (2005)	Wong2005	
Wong et al. (2013)	Wong2013	Chinese
Wong & Anderson (1990)	Wong1990	
Wong et al. (1989)	Wong1989	
Woods et al. (1958)	Woods1958	English
Wranik (1998)	Wranik1998	
Wright & Roosenburg (1982)	Wright1982	
Wright et al. (1983)	Wright1983	English
Wright et al. (1984)	Wright1984	
Wright (1967)	Wright1967	English
Wright (1968)	Wright1968	English
Wu (1992)	Wu1992	Chinese
Wu (2003)	Wu2003.1	English
Wu et al. (1999)	Wu1999	English
Wu et al. (2002)	Wu2002	English
Wu et al. (2003)	Wu2003.2	English
Wu et al. (2004)	Wu2004.1	English
Wu et al. (2004)	Wu2004.2	
Wu et al. (1962)	Wu1962	English
Wunderlich et al. (2017)	Wunderlich2017	English [with Portuguese abstract/summary]
Wunderlich & Pinheiro (2013)	Wunderlich2013	English
Wurtz & Roback (1955)	Wurtz1955	English
Xie & Gao (2009)	Xie2009	English
Yamaguchi (1970)	Yamaguchi1970	Japanese [with English abstract/summary]
Yamaguchi (1971)	Yamaguchi1971	English
Yamaguchi (1973)	Yamaguchi1973	Japanese [with English abstract/summary]
Yamaguchi (1977)	Yamaguchi1977	English
Yamaguchi (1978)	Yamaguchi1978	
Yamaguchi (1983)	Yamaguchi1983	Japanese [with English abstract/summary]
Yamaguchi (1993)	Yamaguchi1993.1	English and Japanese
Yamaguchi (1993)	Yamaguchi1993.3	English and Japanese
Yamaguchi (1994)	Yamaguchi1994	
Yamaguchi (1998)	Yamaguchi1998.1	
Yamaguchi (1998)	Yamaguchi1998.2	English
Yamaguchi (2000)	Yamaguchi2000.1	
Yamaguchi (2001)	Yamaguchi2001.2	
Yamaguchi (2001)	Yamaguchi2001.5	
Yamaguchi (2001)	Yamaguchi2001.7	
Yamaguchi (2001)	Yamaguchi2001.4	
Yamaguchi (2001)	Yamaguchi2001.3	
Yamaguchi (2001)	Yamaguchi2001.6	
Yamaguchi (2002)	Yamaguchi2002	
Yamaguchi (2003)	Yamaguchi2003	
Yamaguchi & Baba (1993)	Yamaguchi1993.2	English and Japanese
Yamaguchi & Henmi (2001)	Yamaguchi2001.8	
Yamaguchi et al. (2005)	Yamaguchi2005.1	
Yamaguchi et al. (2005)	Yamaguchi2005.2	
Yamaguchi & Holthuis (2001)	Yamaguchi2001.1	English
Yamaguchi & Ogata (2000)	Yamaguchi2000.2	
Yamaguchi & Tabata (2004)	Yamaguchi2004	
Yamaguchi & Takeda (1973)	Yamaguchi1973.2	Japanese [with English abstract/summary]
Yang et al. (2014)	Yang2014	English
Yasuda & Koga (2016)	Yasuda2016	English
Yasuda et al. (2017)	Yasuda2017	English
Yasuda (1996)	Yasuda1996	
Yeh (1996)	Yeh1996	Chinese
Yeragi (1988)	Yeragi1988	English
Yeragi & Koli (1999)	Yeragi1999	English
Yeragi et al. (2000)	Yeragi2000	
Yeragi et al. (2002)	Yeragi2002	English
Yerkes (1901)	Yerkes1901	English
Yoder et al. (2010)	Yoder2010	
Yoder et al. (2005)	Yoder2005	
Yoder et al. (2007)	Yoder2007	
Yoritaka (~1762-1770)	Yoritaka	Japanese
Yoshigou (2001)	Yoshigou2001	Japanese
Yoshigou (2002)	Yoshigou2002	Japanese
